bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
10,0.105,80,-0.41264728008615004,-0.8930158744027479,-0.07821194280656873,0.13590888816963453,0.2816147766027631,0.14985223309398998,-0.2951442370439195,0.009115136900751936,0.06791690445246958,0.008045801711460781,0.004812106790997288,0.031126867671418555,1.933199633320972,-2.742584735483024,-4.9786801382301125,0.033193014114477434,7.539779162765226e-05,0.06870891260012088,0.001193746194395318
11,0.115,81,-0.1532715857189537,-0.7676892680656304,0.32893232921413373,0.027541613020661007,0.017577937411939065,0.07781421697623862,-0.28547044000067007,-0.00682289275907517,-0.024947143115805065,0.0014674903247845076,0.010373262252605783,0.01950643231499152,0.3979335739855115,-3.438258038219627,-7.569483167333768,0.03341859919131661,6.163344788025447e-05,0.07248274915146521,0.0010780185895296426
12,0.125,79,0.02878685078119568,-0.9950533469178505,0.3397055284055422,0.08251619409359535,0.16955184812202184,0.09410231154644406,-0.2887772998601513,-0.04589699171076209,-0.05319482622487071,0.0027700036623578505,0.010760051448287938,0.009057335666546715,-0.7696410629878421,-4.361162154388274,2.4027442232112675,0.03359857280975659,4.755770189175822e-05,0.0756376626203911,0.0008444948992412108
13,0.135,80,0.10170308599619313,-1.2715707132545222,0.44653234532150654,0.004803054647284968,0.015668583962864528,0.023331473093281187,-0.29778469700847554,-0.07660148722928756,0.01349676445557522,0.0027760225551413473,0.009223622274724102,0.026809703048904454,-1.1366686915305206,-3.8624901772413005,9.226028197175017,0.03373687647196921,3.679426358045087e-05,0.07811436405484781,0.0006710137594032125
14,0.145,80,0.049095035732516855,-1.3252897473008938,0.35458982164968994,0.09989566245003177,0.09701277592670654,0.14605838872300622,-0.30696399892463966,-0.1076968345466229,0.09442162492992956,0.0026151950443400853,0.00949846654486537,0.022065245041175633,0.1978802067483902,-1.9107351225921954,5.519581913171367,0.033841840933034086,2.7401432197734775e-05,0.07996137407068857,0.0004736402731423494
15,0.155,81,0.015897812693196182,-0.9576267780298411,-0.00784781557279043,0.06423850311062673,0.1940130631875882,0.01606006907022998,-0.2946186137005013,-0.10717324919076268,0.10181007506631709,0.007060906723091404,0.005979381562108146,0.023128433380128537,1.7140090263164376,0.38226147897178847,-4.309920180157211,0.033919872662454345,2.0366336284939177e-05,0.08132152764474958,0.00039253875138660864
16,0.165,79,0.101103270039148,-0.8569545426562898,-0.01298197210128795,0.011839021014760516,0.02504596889551616,0.01257655014817178,-0.27953985450357666,-0.10158065088307429,0.025462902047414176,0.00313158803683363,0.001672566500719695,0.017880721304604136,1.5416393835106927,-0.247641788731736,-6.7877664975124326,0.03397796707593651,1.530430586899866e-05,0.08243706159904608,0.0003012660684625671
17,0.175,80,0.15815033107041637,-1.076130054229651,0.11802465957159067,0.02837868195777609,0.14528948257615726,0.11349663513705786,-0.2699523835643302,-0.11113551781047046,-0.006794188893881841,0.0034757522370763424,0.0035661606420718,0.005331859532995003,1.4891919110200518,-1.2506155837618393,0.09638267739174523,0.03402247363714171,1.234252667098785e-05,0.08320393796880056,0.00019784837528793612
18,0.185,80,0.22139459542313694,-1.3230982493358379,0.09535901272223742,0.0068478912776881295,0.02274942797327938,0.06262876429584088,-0.2557127839272558,-0.12159050022326372,0.0270050248856821,0.004672181696578164,0.003281372367045289,0.014635085234548035,1.7975408214499724,-1.4261146141899497,4.977781203443187,0.03405790095934273,9.803515169333226e-06,0.08360852709135591,0.00010717537913540077
19,0.195,82,0.22710845051961487,-1.3973390601649596,-0.09439699239245054,0.01894102222713416,0.10131287055853869,0.0708153430626781,-0.24119173042113065,-0.13395335163750965,0.07285031036120916,0.004069032760036435,0.004246341607331378,0.013139367852882491,2.6197726832710764,-0.02717101939993423,2.962581825229938,0.03408533936194334,7.819629736942859e-06,0.08369335505807654,6.751542521670526e-05
