bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,omega_W_raw_x,omega_W_raw_y,omega_W_raw_z
33,0.335,79,0.6324149393968997,-1.0667685418536867,-0.1108182041175725,0.014839098961300251,0.009427946214375973,0.14848074202635705,0.17221387839291286,0.033095485053296375,-0.0672960128180112,0.00940222209361813,0.005205830159959866,0.002070436755338412,3.559531134919828,2.0214835186386537,-1.3126970778455826,0.03429601437081764,1.2902616135220368e-05,0.07754914079545581,0.00021450744785137405,0.17491004595091056,0.03289596885593221,-0.07108927401225852
34,0.345,80,0.6248923329409329,-1.0780660413184875,-0.3263453722864452,0.06401161228772138,0.026468538026172383,0.39585079190498146,0.20024977990685972,0.04901161807359049,-0.076724723626343,0.006243357503312309,0.00551327626575391,0.0007042748339713782,3.444191137172165,2.0091625751651336,-1.1169909045397373,0.03432934236822553,1.4852983451138372e-05,0.0768547814986041,0.0002185782769809948,0.20022164524730718,0.04987051101008439,-0.07441291536140791
35,0.355,80,0.7123335773057234,-1.0122775574951066,0.13679898093741855,0.029033523571718622,0.0042420418287588135,0.21960307159289383,0.2273209365876675,0.06524208625593851,-0.085167867290647,0.010534788033321606,0.004212334230525663,0.004236387833340854,3.2843432625367823,1.9516265847285457,-1.0427978751568243,0.03436751732704398,1.686928318435729e-05,0.07612108368912604,0.0002596241160047784,0.2283857360496468,0.06429670013356242,-0.08011588188024342
36,0.365,82,0.6504352227801323,-1.0185443813482624,-0.4575662147295379,0.009607969847930633,0.005028094035346298,0.14634205888312765,0.25279927210744824,0.08023764342924722,-0.09340948962885219,0.007009368227684728,0.006027950128889908,0.004364842481084781,3.1290988720586927,1.8815459239337429,-1.0570573408028165,0.0344119251735114,1.9342109855625128e-05,0.07526707928155586,0.000281568554193311,0.25672405850881563,0.0806150265756985,-0.09493529146433068
37,0.375,78,0.6990970921237862,-0.9567222719419383,-0.05977075913918211,0.04727171158655148,0.06285114226134596,0.4900973565688617,0.2773865185406066,0.0953468210388784,-0.10208078474349207,0.00694872577996184,0.0038383726404680363,0.00196263667031265,2.964177632890388,1.807216813296028,-1.0442134699010186,0.03446262772180913,2.0505524321829468e-05,0.07440634999034591,0.0002828762086527552,0.2763631971816572,0.09853222470441499,-0.10528597373499445
38,0.385,81,0.6501779013935459,-1.0166520622363282,-0.4254140780980612,0.015211589302192161,0.026945805763472077,0.20986553085297607,0.30022611423369444,0.10915311244198367,-0.11011690514726849,0.007727880284510158,0.004088394741297043,0.00229497188936129,2.7941898184656,1.6141972605585526,-0.9225021653909643,0.03451870594067736,2.213824399316414e-05,0.07338497921114459,0.00035560730824751077,0.30230172354981427,0.10787375472247576,-0.11229738570328447
39,0.395,79,0.6274762227913442,-1.0343821973603013,-0.7434035581175681,0.02826681103210467,0.10836162377885082,0.4554649811160279,0.3220935556360562,0.12117397720781524,-0.1168408193897475,0.005076601317089695,0.006737121952587071,0.0008326622322421421,2.728576698189003,1.4581781609075104,-0.7735361100257403,0.03457947652100719,2.3301970945237794e-05,0.07225386463568492,0.00035536936555315905,0.323157877413099,0.1254163990582403,-0.11776939093460734
40,0.405,82,0.6013031690686176,-0.9192517769715831,-0.3825113347182935,0.038698391859545885,0.06261518674640987,0.3279563333873485,0.3438833414047185,0.13248396301650384,-0.12249348290768033,0.0073268919927729345,0.0012271545830161922,0.0019865479874910373,2.655739056350855,1.2316854639072812,-0.5128307742440115,0.03464349897872915,2.4607137677863925e-05,0.07100506326364155,0.0004566302231978549,0.3425837145150861,0.1333281571490887,-0.12029648389912549
41,0.415,78,0.5257856106063724,-1.0652336968914957,-1.1948017866010499,0.01758565545482582,0.030641814204871966,0.17903619753816866,0.36458538053766987,0.14088094463033174,-0.12504611177765168,0.006720507417062737,0.004721232011827597,0.002609724600635337,2.7119545176853173,0.9352661326394052,-0.21107550527088223,0.03471022315321209,2.4158765103732443e-05,0.06948472559552266,0.00048210970216059723,0.36606126552062446,0.14071935040485645,-0.1285548626767257
42,0.425,81,0.4467078209741151,-0.8973623577757365,-0.8562259951947941,0.04777509434029881,0.19229601242098118,0.5290386599650254,0.38727461368768357,0.14744822113873432,-0.12587069099201445,0.004765930141489306,0.0036855870802494917,0.0013065100937847262,2.9444166356023675,0.6078820117475305,0.09548547655205494,0.03477924243837512,2.561876625230877e-05,0.06789116450556897,0.0005369803254060073,0.38531212602496856,0.15508215374785803,-0.13354929132465862
